会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
柴田屋加工紙株式会社,http://www.shibataya.com,畑野晋一,新潟県,新潟市江南区,89,9800,1950,11,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
アトテックジャパン株式会社,https://www.atotech.com,西田省三,神奈川県,横浜市緑区,115,150000,1993,2,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
三和化成工業株式会社,http://www.sanwakasei.co.jp,武藤英輔,神奈川県,横浜市金沢区,87,50000,1947,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社半導体エネルギー研究所,https://www.sel.co.jp,山崎舜平,神奈川県,厚木市,89,430000,1980,7,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社笹川プラスチック工業所,http://sasapla.p-kit.com,笹川秀則,新潟県,新潟市南区,87,1000,1967,11,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
燐化学工業株式会社,http://www.rinka.co.jp,大塚肇,富山県,射水市,85,10000,1926,11,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
川﨑株式会社,http://kawasaki-plastics.jp,川﨑雄輔,新潟県,三条市,87,2500,1951,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
有限会社黒姫総業,https://himekuro.co.jp,松澤稔,新潟県,糸魚川市,86,300,1976,4,未上場,BtoB,化学,化学品製造,水産,プラント設備工事,,,,,,,,,,,,,,,,,,
斎藤樹脂工業株式会社,http://www.saitojushi.co.jp,斉藤隆訓,神奈川県,綾瀬市,87,1000,1971,4,未上場,BtoB,化学,樹脂系建材製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社仲田コーテイング,http://www.nakata-coating.co.jp,松野竹己,神奈川県,横浜市保土ケ谷区,85,4500,1970,1,未上場,BtoB,化学,樹脂製品製造,プラスチック成形機器,,,,,,,,,,,,,,,,,,,
北越化成株式会社,http://hokuetsukasei.com,中村博也,新潟県,見附市,85,150000,1967,8,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
尾崎理化株式会社,http://www.ozakirika.co.jp,-,神奈川県,相模原市緑区,83,1000,1971,4,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
日東化学産業株式会社,http://www.nittou-kk.co.jp,広田憲一,神奈川県,藤沢市,84,3000,1959,6,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
日本フィルメニッヒ株式会社,http://www.firmenich.com,金子裕之,神奈川県,川崎市幸区,79,9000,1968,5,未上場,BtoB,化学,化学品・医療品商社,化学品製造,,,,,,,,,,,,,,,,,,,
有限会社ハヤシテクニカ,http://www.hayashi-ht.com,林明廣,長野県,飯田市,80,300,1994,11,未上場,BtoB,化学,樹脂製品製造,金型製造,自動車部品製造,,,,,,,,,,,,,,,,,,
コーケンフード&フレーバー株式会社,http://www.kohken-flavor.com,中島愼弥,神奈川県,横浜市港北区,81,4000,1968,5,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
冨士工業株式会社,http://www.fujikohgyo.co.jp,越村清史,石川県,白山市,81,4000,1939,1,未上場,BtoB,化学,自動車部品製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社北村製作所,http://kitamuramfg.com,北村良朗,石川県,白山市,79,8000,1951,4,未上場,BtoB,化学,産業用ロボット,塗料製造,工作機器,,,,,,,,,,,,,,,,,,
水口化成株式会社,http://www.mg-kasei.co.jp,林省三,富山県,氷見市,77,9000,1956,4,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
浅間合成株式会社,http://www.asama-gosei.jp,嶋田修二,山梨県,富士河口湖町,78,4000,1952,2,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
石川樹脂工業株式会社,http://www.ishikawajyushi.net,石川勤,石川県,加賀市,77,4800,1965,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
