会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社生活サポーターふるまい,http://www.hurumai.com,佐野和弘,新潟県,見附市,113,1000,1998,7,未上場,BtoC,IT,高齢者福祉,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ICCデータプラス,http://www.idtp.jp,徳野嘉孝,石川県,金沢市,124,5000,1991,10,未上場,BtoB,IT,事務処理代行,,,,,,,,,,,,,,,,,,,,
株式会社タスク,https://www.task.co.jp,前川正俊,石川県,金沢市,120,6000,1983,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社デイシス,https://daysys.jp,中村達哉,静岡県,静岡市葵区,123,5000,1984,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
アドバンステクノロジー株式会社,https://www.advance-te.com,小出将寛,山梨県,甲府市,118,2450,2008,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
ネクストリンクス株式会社,https://www.nextlinks.co.jp,宮川強,長野県,松本市,119,5760,2013,3,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
SSBソリューション株式会社,http://www.s-s-b.co.jp,望月禎樹,静岡県,静岡市駿河区,120,5000,1985,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社NTTデータ信越,https://www.nttdata-shinetsu.co.jp,髙橋将樹,長野県,長野市,113,10000,1991,1,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
共同コンピュータ株式会社,https://www.kyd.co.jp,笹岡晴雄,福井県,福井市,114,5000,2011,3,未上場,BtoB,IT,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,,
株式会社サカイエルコム,https://www.sakai-elcom.co.jp,西内浩二,福井県,福井市,111,5000,1986,4,未上場,BtoB,IT,精密機器,精密機器,産業用電気設備工事,,,,,,,,,,,,,,,,,,
株式会社キザシオ,http://www.cec-nis.co.jp,最上正人,新潟県,新潟市中央区,134,5000,1974,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社エス・イー・キタムラ,http://se-kitamura.com,北村直樹,石川県,金沢市,99,4100,1989,4,未上場,BtoB,IT,産業用ロボット,,,,,,,,,,,,,,,,,,,,
株式会社長野県協同電算,https://www.naganoken-kyododensan.jp,千國茂,長野県,長野市,111,233274,1974,10,未上場,BtoB,IT,ITインフラストラクチャー,通信回線,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
株式会社プラネット,https://dentalx.jp,小池和人,岐阜県,多治見市,108,9800,1995,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
