会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社ながせ,https://www.nagase.co,三室裕希,千葉県,柏市,31,363,1964,4,未上場,BtoC,マスコミ,新聞,食品店,化粧品販売,,,,,,,,,,,,,,,,,,
株式会社稲荷山,http://www.inariyama.co.jp,笠原貴行,群馬県,高崎市,32,2000,1973,10,未上場,BtoB,マスコミ,建造物解体,書籍出版,廃棄物収集,,,,,,,,,,,,,,,,,,
株式会社胆江日日新聞社,http://www.tankonews.jp,小野寺弘行,岩手県,奥州市,32,1000,1946,3,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
晃南印刷株式会社,http://ko-nan.co.jp,阿部真一,栃木県,鹿沼市,30,6800,,,未上場,"BtoB,BtoC",マスコミ,紙媒体印刷,書籍出版,看板,,,,,,,,,,,,,,,,,,
東北映音株式会社,https://www.eion.co.jp,大沼潤,山形県,山形市,38,2450,1988,6,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
エステービー・メディアセンター株式会社,https://www.stv-mc.jp,図書嘉幸,北海道,札幌市中央区,31,5000,1989,7,未上場,BtoB,マスコミ,放送局,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エフエム群馬,http://www.fmgunma.com,塚越正弘,群馬県,前橋市,34,20000,1984,12,未上場,"BtoB,BtoC",マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
有限会社房州日日新聞社,http://www.bonichi.com,-,千葉県,館山市,30,-,,,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社毎日新聞北海道センター,http://www.mainichi-kitahiro.co.jp,筑井直樹,北海道,北広島市,30,6000,2000,4,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社福島建設工業新聞社,http://www.fk-news.co.jp,相澤隆,福島県,福島市,30,1000,1968,11,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社エフエム北海道,http://www.air-g.co.jp,木村博史,北海道,札幌市中央区,29,40000,1981,9,未上場,BtoB,マスコミ,ラジオ制作,,,,,,,,,,,,,,,,,,,,
有限会社加賀谷新聞店,http://www.kagaya-shinbunten.com,加賀谷毅,秋田県,秋田市,28,1000,1970,1,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社北海道医療新聞社,http://www.phoenix-c.or.jp,村上一則,北海道,札幌市中央区,27,-,1968,1,未上場,"BtoC,BtoB",マスコミ,新聞,書籍出版,雑誌出版,,,,,,,,,,,,,,,,,,
仙台CATV株式会社,http://www.cat-v.jp,日髙邦明,宮城県,仙台市青葉区,29,350000,1983,3,未上場,"BtoB,BtoC",マスコミ,放送局,テレビ番組,通信回線,,,,,,,,,,,,,,,,,,
株式会社朝日サービス,http://www.asaori-sapporo.com,星野修一,北海道,札幌市中央区,27,2000,1960,2,未上場,"BtoB,BtoC",マスコミ,広告代理店,放送局,Web制作,,,,,,,,,,,,,,,,,,
日本・アルカディア・ネットワーク株式会社,http://jan.jp,黒澤栄,山形県,長井市,26,8800,1993,11,未上場,"BtoC,BtoB",マスコミ,通信回線,放送局,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社あお,http://ao-inc.co.jp,青山速己,千葉県,鋸南町,26,1000,2008,11,未上場,BtoB,マスコミ,テレビ番組,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
株式会社マルカツ,http://yoshidashinbunten.com,吉田勝幸,北海道,釧路市,26,1000,,,未上場,"BtoB,BtoC",マスコミ,広告代理店,広告代理店,,,,,,,,,,,,,,,,,,,
株式会社日刊スポーツ新聞北海道本社,https://www.nikkansports.com,森眞人,北海道,札幌市中央区,26,3000,1962,5,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社平野新聞舗,http://www.hiranoshinbunho.com,佐藤一則,山形県,酒田市,25,1000,1953,1,未上場,"BtoB,BtoC",マスコミ,新聞,一般貨物輸送,紙媒体印刷,,,,,,,,,,,,,,,,,,
株式会社エス・シー・シー,https://www.cjnavi.co.jp,佐久間信幸,福島県,福島市,26,1000,1984,11,未上場,BtoC,マスコミ,雑誌出版,Webアプリ・サービス運営,イベント,,,,,,,,,,,,,,,,,,
株式会社東日オフセット,http://www.tonichioffset.com,中村威,青森県,青森市,26,6000,1975,1,未上場,BtoB,マスコミ,紙媒体印刷,新聞,,,,,,,,,,,,,,,,,,,
